ticker,score,last_price,strategy_count,avg_strat_return_pct,avg_strat_max_drawdown_pct,avg_strat_sharpe,avg_strat_sortino,avg_strat_calmar,avg_pl_pct_all,pl_std_dev,positive_strat_ratio,avg_trades_per_strat,avg_commission_per_strat,bh_return_pct,bh_max_drawdown_pct,bh_sharpe,top_strategies,worst_strategies
TRITURBINE,-0.3686338430158878,536.4500122070312,47,-5.760766019997998,15.23200733523522,-0.3686338430158878,-0.5866704412522219,-0.36417433284708156,-5.766297322079277,11.148483219651286,0.2127659574468085,75.57446808510639,710.3134889188726,-2.8660020723812796,42.50923714979017,0.2000279972183468,"williams_vix_fix_strategy:22.21, simple_trend_reversal_strategy:19.86, center_of_gravity_strategy:6.04","price_channel_strategy:-26.26, psar_strategy:-27.25, kst_strategy:-29.48"
DEVYANI,-0.368763234080461,149.80999755859375,47,-4.465712049504599,13.287080624301154,-0.368763234080461,-0.6093837111636274,-0.3235461259641003,-4.470047094490702,8.41645444281802,0.23404255319148937,76.08510638297872,703.1004190806938,-3.9063480284253993,33.062548019425314,0.0677252814965928,"keltner_channel_strategy:21.48, rsi_strategy:10.33, hull_moving_average_strategy:7.03","ultimate_oscillator_strategy:-20.33, triple_moving_average_strategy:-21.27, vortex_indicator_strategy:-22.14"
CIEINDIA,-0.3696563000709526,400.95001220703125,47,-3.0089438766601195,12.011828426464527,-0.3696563000709526,-0.607137554649939,-0.2410772119600972,-3.0140887152794322,6.8480019088433774,0.23404255319148937,69.2127659574468,664.7312392850835,-14.360935018477639,39.24879034039278,-0.4040938172464045,"momentum_strategy:9.70, vortex_indicator_strategy:9.38, psar_strategy:8.87","elder_ray_strategy:-16.60, dual_thrust_strategy:-19.98, schaff_trend_cycle_strategy:-21.67"
APOLLOTYRE,-0.37090776717233426,422.54998779296875,47,-3.31858728108253,10.422828195690014,-0.37090776717233426,-0.5365077255936671,-0.30643973718245,-3.321139911487986,6.87065826378925,0.23404255319148937,70.0,677.7824253046563,-9.082696482070086,33.664158122646214,-0.18347828995239757,"adaptive_channel_strategy:10.63, price_channel_strategy:8.33, kst_strategy:7.41","williams_vix_fix_strategy:-18.03, triple_moving_average_strategy:-18.75, vortex_indicator_strategy:-20.83"
THERMAX,-0.3825450158236285,3550.0,47,-4.2895419279218245,13.076313996462288,-0.3825450158236285,-0.5717370054836709,-0.3157807040114534,-4.295307830002807,8.014892440330074,0.19148936170212766,61.212765957446805,579.1682041275349,-17.250274328133663,46.85473537448438,-0.2348491378569816,"momentum_strategy:10.69, simple_trend_reversal_strategy:8.11, center_of_gravity_strategy:4.80","information_flow_strategy:-21.83, elder_ray_strategy:-23.60, dual_thrust_strategy:-32.47"
LINDEINDIA,-0.3845293221974772,6207.89990234375,47,-3.953207541778281,12.373588775518076,-0.3845293221974772,-0.5923564784336636,-0.3075284325832601,-3.957009464043805,7.883857712170076,0.2127659574468085,51.95744680851064,513.2417855925864,-9.907166770657172,42.74574119802537,-0.043382637124255004,"momentum_strategy:15.17, simple_trend_reversal_strategy:8.17, williams_vix_fix_strategy:7.55","relative_vigor_index_strategy:-17.14, volatility_breakout_strategy:-18.87, kalman_filter_strategy:-23.32"
SWANENERGY,-0.3887778116323236,432.29998779296875,47,-5.737158694913225,13.966351109310903,-0.3887778116323236,-0.6904207807905238,-0.3955470122190737,-5.741687404290714,17.091234133736418,0.2765957446808511,65.42553191489361,581.2314157033069,-35.673085944073904,49.90789867706894,-0.6044178245910528,"trix_strategy:48.75, kst_strategy:33.53, dema_strategy:14.06","information_flow_strategy:-34.20, adaptive_momentum_filter_strategy:-45.21, keltner_channel_strategy:-47.83"
FINPIPE,-0.39005363271095245,177.67999267578125,47,-5.168028417910763,16.96563052939382,-0.39005363271095245,-0.6585292177727925,-0.293285177358803,-5.172650298370034,12.759978303404091,0.2765957446808511,70.57446808510639,662.8977318809997,-27.862732206368047,51.71371047419983,-0.6125354432982534,"momentum_strategy:25.36, triple_moving_average_strategy:14.48, stochastic_momentum_strategy:13.06","information_flow_strategy:-29.28, dual_thrust_strategy:-34.04, elder_ray_strategy:-34.29"
VBL,-0.39463052954233,538.75,47,-3.6887059907478315,10.23091748795524,-0.39463052954233,-0.6343979714790897,-0.34703101752328813,-3.6902418014162692,9.642596150069691,0.19148936170212766,77.1063829787234,705.0365299280045,-4.03558309368176,35.1796788309512,0.07322580724664696,"bollinger_bands_strategy:19.39, williams_vix_fix_strategy:17.70, keltner_channel_strategy:17.18","price_channel_strategy:-18.80, volume_price_trend_strategy:-19.99, triple_moving_average_strategy:-21.09"
MMTC,-0.39979074498677053,53.959999084472656,47,-7.1252157791867665,20.182765523225505,-0.39979074498677053,-0.6185499265234266,-0.34003359561365465,-7.1294944531314615,15.056043576040997,0.2553191489361702,68.97872340425532,595.2216321428178,-26.28415118292099,59.622861453834055,-0.33409330307999374,"ultimate_oscillator_strategy:29.01, vortex_indicator_strategy:16.24, momentum_strategy:16.03","dual_thrust_strategy:-32.68, rsi_strategy:-37.13, elder_ray_strategy:-37.33"
